Date,Open,High,Low,Close,Volume,Adj Close
1989-06-26,43.0,43.375,42.625,42.75,9452800,0.5337270000000001
1989-06-27,42.75,44.0,42.625,43.375,16377600,0.5415300000000001
1989-06-28,43.375,43.5,42.375,42.875,12454400,0.535287
1989-06-29,42.75,42.75,40.875,41.25,20288000,0.514999
1989-06-30,41.25,41.75,40.75,40.75,17388800,0.508757
1989-07-03,40.75,40.875,40.25,40.75,10022400,0.508757
1989-07-05,40.75,42.5,40.375,42.375,21664000,0.529045
1989-07-06,42.75,44.5,42.75,44.5,23059200,0.555575
1989-07-07,44.5,45.375,43.625,43.75,21548800,0.546212
1989-07-10,43.75,43.875,42.25,42.75,28825600,0.5337270000000001
1989-07-11,42.75,43.25,42.25,42.5,35225600,0.530605
1989-07-12,42.5,42.5,40.875,40.875,25644800,0.510318
1989-07-13,40.875,43.25,40.875,43.125,43040000,0.538408
1989-07-14,43.125,45.375,43.0,45.375,63136000,0.566499
1989-07-17,45.25,45.25,44.5,44.875,30092800,0.560257
1989-07-18,44.875,44.875,43.875,43.875,22579200,0.547772
1989-07-19,43.875,44.0,42.875,43.25,37043200,0.5399689999999999
1989-07-20,43.25,43.25,42.375,42.5,25702400,0.530605
1989-07-21,42.5,43.125,41.875,42.875,30457600,0.535287
1989-07-24,42.875,43.375,42.75,43.25,18272000,0.5399689999999999
1989-07-25,43.25,45.125,43.25,44.5,37824000,0.555575
1989-07-26,44.5,45.75,44.25,45.75,44307200,0.571181
1989-07-27,45.75,46.25,45.125,45.5,36921600,0.56806
1989-07-28,45.5,45.625,45.0,45.25,10406400,0.5649390000000001
1989-07-31,45.25,46.375,45.25,46.375,23500800,0.578984
1989-08-01,46.375,46.625,45.875,45.875,27801600,0.572742
1989-08-02,45.875,46.5,45.625,46.125,10112000,0.575863
1989-08-03,46.125,46.375,45.375,45.75,13497600,0.571181
1989-08-04,45.75,46.375,45.5,46.375,23526400,0.578984
1989-08-07,46.375,48.0,46.375,47.875,22022400,0.597711
1989-08-08,47.875,48.375,47.75,48.25,16032000,0.6023930000000001
1989-08-09,48.25,48.25,47.0,47.0,18368000,0.586787
1989-08-10,47.0,47.75,46.375,47.625,26412800,0.59459
1989-08-11,47.625,47.875,46.875,47.125,18176000,0.588348
1989-08-14,47.125,47.375,46.625,47.125,21427200,0.588348
1989-08-15,47.125,47.625,47.125,47.625,6252800,0.59459
1989-08-16,47.625,48.875,47.5,48.25,16064000,0.6023930000000001
1989-08-17,48.25,48.875,48.125,48.375,10009600,0.603954
1989-08-18,48.375,48.375,47.875,48.25,12422400,0.6023930000000001
1989-08-21,48.25,48.25,47.25,47.375,15590400,0.5914689999999999
1989-08-22,47.375,47.625,47.125,47.5,7763200,0.5930300000000001
1989-08-23,47.5,47.625,47.125,47.5,11340800,0.5930300000000001
1989-08-24,47.625,48.5,47.625,48.375,29152000,0.603954
1989-08-25,48.375,48.5,48.125,48.125,12902400,0.600833
1989-08-28,48.125,48.5,47.75,48.5,14016000,0.605514
1989-08-29,48.5,49.0,48.375,48.5,17689600,0.605514
1989-08-30,48.625,50.75,48.625,50.625,27161600,0.632045
1989-08-31,51.0,52.125,51.0,52.125,23091200,0.650772
1989-09-01,52.125,52.125,51.5,51.75,30092800,0.6460899999999999
1989-09-05,51.75,52.5,51.625,52.125,23852800,0.650772
1989-09-06,52.125,52.125,51.125,51.75,12313600,0.6460899999999999
1989-09-07,51.75,52.25,51.75,52.25,15686400,0.6523329999999999
1989-09-08,52.5,55.75,52.5,55.625,41593600,0.694469
1989-09-11,55.625,57.25,55.5,56.875,39232000,0.711992
1989-09-12,56.875,57.25,56.125,56.5,28320000,0.7072970000000001
1989-09-13,56.75,60.0,56.75,58.25,53548800,0.729205
1989-09-14,58.25,58.625,57.75,58.125,31308800,0.72764
1989-09-15,58.125,58.5,57.375,57.75,25900800,0.722946
1989-09-18,57.625,57.625,56.5,57.25,62412800,0.7166859999999999
1989-09-19,57.375,60.375,57.375,59.5,59993600,0.744853
1989-09-20,59.75,61.875,59.75,61.75,54214400,0.7730199999999999
1989-09-21,62.125,65.75,62.125,64.0,70617600,0.801186
1989-09-22,64.0,64.0,61.75,62.125,58560000,0.777714
1989-09-25,62.125,63.375,61.5,62.0,48966400,0.776149
1989-09-26,62.0,62.25,61.375,61.875,28326400,0.7745850000000001
1989-09-27,61.875,65.75,61.375,65.625,47974400,0.8215290000000001
1989-09-28,65.625,68.625,63.625,68.0,103283200,0.851261
1989-09-29,68.0,68.125,66.25,66.5,34425600,0.832483
1989-10-02,66.125,66.125,64.875,65.25,28710400,0.8168350000000001
1989-10-03,65.25,65.75,64.375,64.625,20716800,0.8090109999999999
